,Frequency,Product,Date,AvgPairwiseCorr
0,30s,TYG,2021-03-15,-0.01005298075490831
1,30s,TYG,2021-03-16,0.16992189583885367
2,30s,TYG,2021-03-17,-0.08963679452627911
3,30s,TYG,2021-03-18,-0.06343325027605567
4,30s,TYG,2021-03-19,-0.1257747971108757
5,30s,TYG,2021-03-21,-0.001101728387225934
6,30s,TYG,2021-03-22,-0.005590650222287489
7,30s,TYG,2021-03-23,0.37201533667205144
8,30s,TYG,2021-03-24,0.006121783145742045
9,30s,TYG,2021-03-25,-0.030101813139562082
10,30s,TYG,2021-03-26,-0.0611330295348982
11,30s,TYG,2021-03-28,0.010698437980275541
12,30s,TYG,2021-03-29,-0.017821569607128124
13,30s,TYG,2021-03-30,-0.07151020444614783
14,30s,TYG,2021-03-31,-0.07028080337708338
15,30s,TYG,2021-04-01,0.05162197163857049
16,30s,TYG,2021-04-02,0.04439542072794145
17,30s,TYG,2021-04-04,0.278009237388708
18,30s,TYG,2021-04-05,-0.10332325218796926
19,30s,TYG,2021-04-06,0.17941844447442157
20,30s,TYG,2021-04-07,-0.05351556952704052
21,30s,TYG,2021-04-08,-0.07730323006835217
22,30s,TYG,2021-04-09,0.06532073880473563
23,30s,TYG,2021-04-11,-0.11689330096579964
24,30s,TYG,2021-04-12,0.08933222335019884
25,30s,TYG,2021-04-13,-0.03933325603614855
26,30s,TYG,2021-04-14,-0.11056507538329934
27,30s,TYG,2021-04-15,0.09563441610495067
28,30s,STF,2021-03-15,-0.11168625602236461
29,30s,STF,2021-03-16,-0.008713463764694588
30,30s,STF,2021-03-17,-0.08075813201262037
31,30s,STF,2021-03-18,-0.14168408778429395
32,30s,STF,2021-03-19,0.28574161246905017
33,30s,STF,2021-03-21,0.08150041297109094
34,30s,STF,2021-03-22,-0.08048144670238011
35,30s,STF,2021-03-23,-0.006601160644832087
36,30s,STF,2021-03-24,0.12579913701275325
37,30s,STF,2021-03-25,0.19757372763469688
38,30s,STF,2021-03-26,-0.05802413782625437
39,30s,STF,2021-03-28,-0.06138853330582377
40,30s,STF,2021-03-29,0.10748385387559274
41,30s,STF,2021-03-30,0.418408005861655
42,30s,STF,2021-03-31,-0.13296154302396163
43,30s,STF,2021-04-01,-0.13459403672575043
44,30s,STF,2021-04-02,0.18885541702445968
45,30s,STF,2021-04-04,-0.09043518442753931
46,30s,STF,2021-04-05,0.016735982384698554
47,30s,STF,2021-04-06,-0.07612477222509229
48,30s,STF,2021-04-07,0.3683503577081454
49,30s,STF,2021-04-08,0.05655029093186465
50,30s,STF,2021-04-09,-0.10138897453504998
51,30s,STF,2021-04-11,-0.009649896704690483
52,30s,STF,2021-04-12,-0.06669588984277373
53,30s,STF,2021-04-13,-0.036318762717065814
54,30s,STF,2021-04-14,0.17580883106576245
55,30s,STF,2021-04-15,0.08439538045634198
56,30s,FYG,2021-03-15,-0.16651820640451634
57,30s,FYG,2021-03-16,-0.010581352725209164
58,30s,FYG,2021-03-17,0.32328235009970063
59,30s,FYG,2021-03-18,-0.08874815766534751
60,30s,FYG,2021-03-19,0.1974380441015201
61,30s,FYG,2021-03-21,-0.04165701366454185
62,30s,FYG,2021-03-22,0.37347701028667896
63,30s,FYG,2021-03-23,0.5475009866877646
64,30s,FYG,2021-03-24,0.8997037980501047
65,30s,FYG,2021-03-25,-0.10124246475081684
66,30s,FYG,2021-03-26,0.36337584233340925
67,30s,FYG,2021-03-28,-0.01279950449778309
68,30s,FYG,2021-03-29,-0.1834599073999995
69,30s,FYG,2021-03-30,-0.0917128255400872
70,30s,FYG,2021-03-31,0.7506219725573393
71,30s,FYG,2021-04-01,-0.3099331454424789
72,30s,FYG,2021-04-02,-0.03743297122689458
73,30s,FYG,2021-04-04,-0.2643124106589265
74,30s,FYG,2021-04-05,-0.22557834851352557
75,30s,FYG,2021-04-06,0.08616860215963858
76,30s,FYG,2021-04-07,0.040260037781230336
77,30s,FYG,2021-04-08,-0.13951907305327294
78,30s,FYG,2021-04-09,0.38447285150882543
79,30s,FYG,2021-04-11,-0.23904641107096378
80,30s,FYG,2021-04-12,-0.06916977937750639
81,30s,FYG,2021-04-13,-0.23133872328288785
82,30s,FYG,2021-04-14,0.06645202771954864
83,30s,FYG,2021-04-15,-0.02279450977787374
84,30T,TYG,2021-03-15,-0.015384400642000709
85,30T,TYG,2021-03-16,0.17234817036862696
86,30T,TYG,2021-03-17,-0.0871210258498729
87,30T,TYG,2021-03-18,-0.06765152319604906
88,30T,TYG,2021-03-19,-0.12178027084958687
89,30T,TYG,2021-03-21,-0.0024198589814814486
90,30T,TYG,2021-03-22,0.0037912556695180798
91,30T,TYG,2021-03-23,0.3758776933066928
92,30T,TYG,2021-03-24,0.0035994130046049155
93,30T,TYG,2021-03-25,-0.05058061842559216
94,30T,TYG,2021-03-26,-0.05583922881283987
95,30T,TYG,2021-03-28,0.010696961276815917
96,30T,TYG,2021-03-29,-0.010885553376368826
97,30T,TYG,2021-03-30,-0.06652335349400751
98,30T,TYG,2021-03-31,-0.06832918094609958
99,30T,TYG,2021-04-01,0.05020260338716417
100,30T,TYG,2021-04-02,0.022504918298090586
101,30T,TYG,2021-04-04,0.2756060286152601
102,30T,TYG,2021-04-05,-0.10692387675212599
103,30T,TYG,2021-04-06,0.18235013331390665
104,30T,TYG,2021-04-07,-0.05511411877141559
105,30T,TYG,2021-04-08,-0.07773194964430097
106,30T,TYG,2021-04-09,0.06742877090323718
107,30T,TYG,2021-04-11,-0.11642339218824467
108,30T,TYG,2021-04-12,0.10260026916074473
109,30T,TYG,2021-04-13,-0.034349167329868
110,30T,TYG,2021-04-14,-0.1157232615383789
111,30T,TYG,2021-04-15,0.11155440068581877
112,30T,STF,2021-03-15,-0.11215758014890854
113,30T,STF,2021-03-16,0.002137630525794269
114,30T,STF,2021-03-17,-0.09029787162262864
115,30T,STF,2021-03-18,-0.1396291019296733
116,30T,STF,2021-03-19,0.27193273400824175
117,30T,STF,2021-03-21,0.1374011235741252
118,30T,STF,2021-03-22,-0.11424975171381666
119,30T,STF,2021-03-23,-0.007640071269267288
120,30T,STF,2021-03-24,0.13527360597938923
121,30T,STF,2021-03-25,0.22136219488792092
122,30T,STF,2021-03-26,-0.06549126724528714
123,30T,STF,2021-03-28,-0.065302774292057
124,30T,STF,2021-03-29,0.10869431573319668
125,30T,STF,2021-03-30,0.42936742768349706
126,30T,STF,2021-03-31,-0.1401496288706822
127,30T,STF,2021-04-01,-0.13243747677558526
128,30T,STF,2021-04-02,0.18350081629788428
129,30T,STF,2021-04-04,-0.09065892074304631
130,30T,STF,2021-04-05,0.023090210694436827
131,30T,STF,2021-04-06,-0.09746717127210096
132,30T,STF,2021-04-07,0.3726690041719138
133,30T,STF,2021-04-08,0.04556432346728053
134,30T,STF,2021-04-09,-0.1085451949808663
135,30T,STF,2021-04-11,-0.01869944472201477
136,30T,STF,2021-04-12,-0.06284776744621537
137,30T,STF,2021-04-13,-0.022122003728400834
138,30T,STF,2021-04-14,0.16994379964891426
139,30T,STF,2021-04-15,0.0711672740207714
140,30T,FYG,2021-03-15,-0.15746967774850526
141,30T,FYG,2021-03-16,0.014363347613223665
142,30T,FYG,2021-03-17,0.3205656161855239
143,30T,FYG,2021-03-18,-0.16518150301900567
144,30T,FYG,2021-03-19,0.10997545163830523
145,30T,FYG,2021-03-21,-0.05531289058802075
146,30T,FYG,2021-03-22,0.4070112195838745
147,30T,FYG,2021-03-23,0.5937993535671057
148,30T,FYG,2021-03-24,0.8806961261663567
149,30T,FYG,2021-03-25,-0.03250256081258914
150,30T,FYG,2021-03-26,0.23396405607067988
151,30T,FYG,2021-03-28,-0.035057309880956254
152,30T,FYG,2021-03-29,-0.17359170329838233
153,30T,FYG,2021-03-30,-0.01157601934708743
154,30T,FYG,2021-03-31,0.7533994848747073
155,30T,FYG,2021-04-01,-0.32394060742017855
156,30T,FYG,2021-04-02,-0.03484873123392342
157,30T,FYG,2021-04-04,-0.26290181020928144
158,30T,FYG,2021-04-05,-0.20225848312711112
