,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
0,042WY7UCV,STFH21,2021-03-15 04:00:00,1,1,3,0.3333333333333333
1,042WY7UCV,STFH21,2021-03-15 06:00:00,0,0,0,
2,042WY7UCV,STFH21,2021-03-15 08:00:00,-25,54,93,0.5806451612903226
3,042WY7UCV,STFH21,2021-03-15 10:00:00,73,108,230,0.46956521739130436
4,042WY7UCV,STFH21,2021-03-15 12:00:00,39,53,112,0.4732142857142857
5,042WY7UCV,STFH21,2021-03-15 14:00:00,71,136,267,0.5093632958801498
6,042WY7UCV,STFH21,2021-03-15 16:00:00,13,16,26,0.6153846153846154
7,042WY7UCV,TYGH21,2021-03-15 02:00:00,5,3,14,0.21428571428571427
8,042WY7UCV,TYGH21,2021-03-15 04:00:00,-9,8,18,0.4444444444444444
9,042WY7UCV,TYGH21,2021-03-15 06:00:00,-40,36,72,0.5
10,042WY7UCV,TYGH21,2021-03-15 08:00:00,-143,428,842,0.5083135391923991
11,042WY7UCV,TYGH21,2021-03-15 10:00:00,48,355,698,0.5085959885386819
12,042WY7UCV,TYGH21,2021-03-15 12:00:00,-99,346,677,0.5110782865583456
13,042WY7UCV,TYGH21,2021-03-15 14:00:00,-65,172,351,0.49002849002849
14,1265MMDIKQ6M2QH,FYGH21,2021-03-15 06:00:00,5,12,20,0.6
15,1265MMDIKQ6M2QH,FYGH21,2021-03-15 08:00:00,4,22,42,0.5238095238095238
16,1265MMDIKQ6M2QH,FYGH21,2021-03-15 10:00:00,-49,41,82,0.5
17,1265MMDIKQ6M2QH,FYGH21,2021-03-15 12:00:00,-14,57,124,0.4596774193548387
18,1265MMDIKQ6M2QH,FYGH21,2021-03-15 14:00:00,4,71,136,0.5220588235294118
19,1265MMDIKQ6M2QH,FYGH21,2021-03-15 16:00:00,-7,3,5,0.6
20,1265MMDIKQ6M2QH,TYGH21,2021-03-15 06:00:00,12,88,180,0.4888888888888889
21,1265MMDIKQ6M2QH,TYGH21,2021-03-15 08:00:00,49,358,722,0.49584487534626037
22,1265MMDIKQ6M2QH,TYGH21,2021-03-15 10:00:00,24,329,695,0.47338129496402875
23,1265MMDIKQ6M2QH,TYGH21,2021-03-15 12:00:00,50,316,621,0.5088566827697263
24,1265MMDIKQ6M2QH,TYGH21,2021-03-15 14:00:00,-22,325,662,0.4909365558912387
25,1265MMDIKQ6M2QH,TYGH21,2021-03-15 16:00:00,3,10,17,0.5882352941176471
