,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
0,042WY7UCV,STFH21,2021-03-15 04:30:00,1,1,3,0.3333333333333333
1,042WY7UCV,STFH21,2021-03-15 05:00:00,0,0,0,
2,042WY7UCV,STFH21,2021-03-15 05:30:00,0,0,0,
3,042WY7UCV,STFH21,2021-03-15 06:00:00,0,0,0,
4,042WY7UCV,STFH21,2021-03-15 06:30:00,0,0,0,
5,042WY7UCV,STFH21,2021-03-15 07:00:00,0,0,0,
6,042WY7UCV,STFH21,2021-03-15 07:30:00,0,0,0,
7,042WY7UCV,STFH21,2021-03-15 08:00:00,3,2,2,1.0
8,042WY7UCV,STFH21,2021-03-15 08:30:00,0,0,0,
9,042WY7UCV,STFH21,2021-03-15 09:00:00,0,0,0,
10,042WY7UCV,STFH21,2021-03-15 09:30:00,-28,52,91,0.5714285714285714
11,042WY7UCV,STFH21,2021-03-15 10:00:00,2,34,82,0.4146341463414634
12,042WY7UCV,STFH21,2021-03-15 10:30:00,28,25,44,0.5681818181818182
13,042WY7UCV,STFH21,2021-03-15 11:00:00,4,13,31,0.41935483870967744
14,042WY7UCV,STFH21,2021-03-15 11:30:00,39,36,73,0.4931506849315068
15,042WY7UCV,STFH21,2021-03-15 12:00:00,10,20,41,0.4878048780487805
16,042WY7UCV,STFH21,2021-03-15 12:30:00,5,14,26,0.5384615384615384
17,042WY7UCV,STFH21,2021-03-15 13:00:00,22,14,30,0.4666666666666667
18,042WY7UCV,STFH21,2021-03-15 13:30:00,2,5,15,0.3333333333333333
19,042WY7UCV,STFH21,2021-03-15 14:00:00,10,17,31,0.5483870967741935
20,042WY7UCV,STFH21,2021-03-15 14:30:00,7,11,19,0.5789473684210527
21,042WY7UCV,STFH21,2021-03-15 15:00:00,-3,17,30,0.5666666666666667
22,042WY7UCV,STFH21,2021-03-15 15:30:00,57,91,187,0.48663101604278075
23,042WY7UCV,STFH21,2021-03-15 16:00:00,13,16,26,0.6153846153846154
24,042WY7UCV,TYGH21,2021-03-15 03:00:00,1,1,9,0.1111111111111111
25,042WY7UCV,TYGH21,2021-03-15 03:30:00,4,2,5,0.4
26,042WY7UCV,TYGH21,2021-03-15 04:00:00,-2,0,3,0.0
27,042WY7UCV,TYGH21,2021-03-15 04:30:00,-7,6,11,0.5454545454545454
28,042WY7UCV,TYGH21,2021-03-15 05:00:00,2,2,3,0.6666666666666666
29,042WY7UCV,TYGH21,2021-03-15 05:30:00,-2,0,1,0.0
30,042WY7UCV,TYGH21,2021-03-15 06:00:00,-7,9,16,0.5625
31,042WY7UCV,TYGH21,2021-03-15 06:30:00,9,2,8,0.25
32,042WY7UCV,TYGH21,2021-03-15 07:00:00,-6,2,3,0.6666666666666666
33,042WY7UCV,TYGH21,2021-03-15 07:30:00,-36,23,45,0.5111111111111111
34,042WY7UCV,TYGH21,2021-03-15 08:00:00,27,58,109,0.5321100917431193
35,042WY7UCV,TYGH21,2021-03-15 08:30:00,-42,122,249,0.4899598393574297
