,Product,Date,account,inv_halflife_min
0,FYG,2021-03-15,1265MMDIKQ6M2QH,297.2460100914117
1,FYG,2021-03-15,12660HNF4CILP1,268.91850851126975
2,FYG,2021-03-15,1268,875.1845418452119
3,FYG,2021-03-15,126ZAQ39VIIU,1217.7248807999647
4,FYG,2021-03-16,1265MMDIKQ6M2QH,71.7798528676811
5,FYG,2021-03-16,12660HNF4CILP1,128.88907520199749
6,FYG,2021-03-16,1268,9946.022538990783
7,FYG,2021-03-16,126WID,699.8455713598461
8,FYG,2021-03-16,126ZAQ39VIIU,248.34668484454946
9,FYG,2021-03-17,1265MMDIKQ6M2QH,748.7788972534487
10,FYG,2021-03-17,12660HNF4CILP1,501.36793172000245
11,FYG,2021-03-17,1268,557.175186902979
12,FYG,2021-03-17,126WID,567.9881645383748
13,FYG,2021-03-17,126ZAQ39VIIU,145.5453617220959
14,FYG,2021-03-18,1265MMDIKQ6M2QH,18.247672648082258
15,FYG,2021-03-18,12660HNF4CILP1,82.98877974467965
16,FYG,2021-03-18,1268,226.57455157053462
17,FYG,2021-03-18,126WID,84.32500725250003
18,FYG,2021-03-18,126ZAQ39VIIU,48.87025904863821
19,FYG,2021-03-19,1265MMDIKQ6M2QH,216.44101729548137
20,FYG,2021-03-19,12660HNF4CILP1,96.02766607686479
21,FYG,2021-03-19,1268,144.51002791817913
22,FYG,2021-03-19,126ZAQ39VIIU,617.2209832564404
23,FYG,2021-03-21,12660HNF4CILP1,37.1637211642231
24,FYG,2021-03-21,1268,118.67324821056565
25,FYG,2021-03-21,126ZAQ39VIIU,3684.1237336296767
26,FYG,2021-03-22,1265MMDIKQ6M2QH,105.81133795028231
27,FYG,2021-03-22,12660HNF4CILP1,31.885022973314317
28,FYG,2021-03-22,1268,347.0233620790949
29,FYG,2021-03-22,126ZAQ39VIIU,223.40554234537547
30,FYG,2021-03-23,12660HNF4CILP1,145.186163443936
31,FYG,2021-03-23,1268,528.1126190665434
32,FYG,2021-03-23,126ZAQ39VIIU,149.16793102138448
33,FYG,2021-03-24,12660HNF4CILP1,170.96324759895634
34,FYG,2021-03-24,1268,704.1603286795665
35,FYG,2021-03-24,126WID,685.07404027392
36,FYG,2021-03-24,126ZAQ39VIIU,601.7863254957655
37,FYG,2021-03-25,1265MMDIKQ6M2QH,258.28589108682957
38,FYG,2021-03-25,12660HNF4CILP1,81.29768890353547
39,FYG,2021-03-25,1268,619.9661114182961
40,FYG,2021-03-25,126ZAQ39VIIU,72.22693937282737
41,FYG,2021-03-26,1265MMDIKQ6M2QH,401.6404994536816
42,FYG,2021-03-26,12660HNF4CILP1,205.41950614474808
43,FYG,2021-03-26,1268,343.6220613815341
44,FYG,2021-03-26,126WID,71.88917832728508
45,FYG,2021-03-26,126ZAQ39VIIU,133.68066603632255
46,FYG,2021-03-28,12660HNF4CILP1,103.66038430130763
47,FYG,2021-03-28,1268,201.79516449428988
48,FYG,2021-03-28,126WID,115.25513031462916
49,FYG,2021-03-28,126ZAQ39VIIU,414.7613737279882
50,FYG,2021-03-29,1265MMDIKQ6M2QH,247.23421704151463
51,FYG,2021-03-29,12660HNF4CILP1,502.62224617721705
52,FYG,2021-03-29,1268,205.89317813756008
53,FYG,2021-03-29,126WID,398.025939520643
54,FYG,2021-03-29,126ZAQ39VIIU,293.0662959673106
55,FYG,2021-03-30,1265MMDIKQ6M2QH,158.1098986632426
56,FYG,2021-03-30,12660HNF4CILP1,276.882106385229
57,FYG,2021-03-30,1268,115.90911415563372
58,FYG,2021-03-30,126WID,697.1313670656249
59,FYG,2021-03-30,126ZAQ39VIIU,152.23999634960006
60,FYG,2021-03-31,12660HNF4CILP1,181.92736103668068
61,FYG,2021-03-31,1268,648.9038764305022
62,FYG,2021-03-31,126ZAQ39VIIU,159.38773374577406
63,FYG,2021-04-01,12660HNF4CILP1,361.23574602664894
64,FYG,2021-04-01,1268,346.41353084883
65,FYG,2021-04-01,126ZAQ39VIIU,574.8798275049344
66,FYG,2021-04-02,1265MMDIKQ6M2QH,504.44376799092356
67,FYG,2021-04-02,12660HNF4CILP1,115.9717944643838
68,FYG,2021-04-02,1268,152.67606874860158
69,FYG,2021-04-02,126WID,360.3654034842705
70,FYG,2021-04-02,126ZAQ39VIIU,1023.7771360365192
71,FYG,2021-04-04,1265MMDIKQ6M2QH,197.72780311352665
72,FYG,2021-04-04,12660HNF4CILP1,198.60449307914453
73,FYG,2021-04-04,1268,559.9182368711457
74,FYG,2021-04-04,126ZAQ39VIIU,131.11400434843065
75,FYG,2021-04-05,1265MMDIKQ6M2QH,335.26310095087956
76,FYG,2021-04-05,12660HNF4CILP1,321.2930712942527
77,FYG,2021-04-05,1268,116.66435899603795
78,FYG,2021-04-05,126ZAQ39VIIU,72.34363008879018
79,FYG,2021-04-06,1265MMDIKQ6M2QH,399.3896720520199
80,FYG,2021-04-06,12660HNF4CILP1,282.24637542868624
81,FYG,2021-04-06,1268,281.723528275179
82,FYG,2021-04-06,126WID,529.4249461442823
83,FYG,2021-04-06,126ZAQ39VIIU,862.8700363284864
84,FYG,2021-04-07,12660HNF4CILP1,48.99829322933993
85,FYG,2021-04-07,1268,182.5672579469657
86,FYG,2021-04-07,126WID,371.83295574340264
87,FYG,2021-04-07,126ZAQ39VIIU,106.50007744606962
88,FYG,2021-04-08,1265MMDIKQ6M2QH,369.21109090726975
89,FYG,2021-04-08,12660HNF4CILP1,427.35183875640087
90,FYG,2021-04-08,1268,553.9968010248507
91,FYG,2021-04-08,126WID,515.4184422085286
92,FYG,2021-04-08,126ZAQ39VIIU,225.11850169300806
93,FYG,2021-04-09,12660HNF4CILP1,102.93276821386337
94,FYG,2021-04-09,1268,253.07169728978226
95,FYG,2021-04-09,126WID,504.7178086859675
96,FYG,2021-04-09,126ZAQ39VIIU,32.434338895628436
97,FYG,2021-04-11,1265MMDIKQ6M2QH,138.1626810332167
98,FYG,2021-04-11,12660HNF4CILP1,688.3175978494551
99,FYG,2021-04-11,1268,168.1744152699535
100,FYG,2021-04-11,126ZAQ39VIIU,207.09842691859302
101,FYG,2021-04-12,1265MMDIKQ6M2QH,68.72709433801937
102,FYG,2021-04-12,12660HNF4CILP1,109.71099066831641
103,FYG,2021-04-12,1268,339.8276897036771
104,FYG,2021-04-12,126WID,581.9973584132994
105,FYG,2021-04-12,126ZAQ39VIIU,160.60197664524992
106,FYG,2021-04-13,12660HNF4CILP1,45.389610062223184
107,FYG,2021-04-13,1268,159.23909477170164
108,FYG,2021-04-13,126ZAQ39VIIU,88.1601916617648
109,FYG,2021-04-14,1265MMDIKQ6M2QH,-7307.106035729845
110,FYG,2021-04-14,12660HNF4CILP1,59.5262457390502
111,FYG,2021-04-14,1268,630.7951404940085
112,FYG,2021-04-14,126ZAQ39VIIU,94.41283627427222
113,FYG,2021-04-15,1265MMDIKQ6M2QH,597.9464751930632
114,FYG,2021-04-15,12660HNF4CILP1,218.82533912163944
115,FYG,2021-04-15,1268,502.60259344651325
116,FYG,2021-04-15,126WID,96.8780533178911
117,FYG,2021-04-15,126ZAQ39VIIU,264.38202130517055
118,TYG,2021-03-15,042WY7UCV,355.7634700640511
119,TYG,2021-03-15,1265MMDIKQ6M2QH,300.2412447587514
120,TYG,2021-03-15,12660HNF4CILP1,326.17198140253106
121,TYG,2021-03-15,1268,103.1191666206304
122,TYG,2021-03-15,126WID,317.1436935498324
123,TYG,2021-03-15,126ZAQ39VIIU,185.33643413982793
124,TYG,2021-03-15,554DBL6,197.4202817377761
125,TYG,2021-03-16,042WY7UCV,355.30578787768945
126,TYG,2021-03-16,1265MMDIKQ6M2QH,671.9128074989422
127,TYG,2021-03-16,12660HNF4CILP1,118.52509941358616
128,TYG,2021-03-16,1268,93.19097545635692
129,TYG,2021-03-16,126WID,91.91018507727482
130,TYG,2021-03-16,126ZAQ39VIIU,67.30800952767648
131,TYG,2021-03-16,1687BBF6P5,432.8209533528927
132,TYG,2021-03-16,554DBL6,89.44806438072132
133,TYG,2021-03-17,042WY7UCV,141.28733756445772
134,TYG,2021-03-17,1265MMDIKQ6M2QH,202.64802291945105
135,TYG,2021-03-17,12660HNF4CILP1,182.09719142877043
136,TYG,2021-03-17,1268,471.1494325047426
137,TYG,2021-03-17,126WID,139.84697437120917
138,TYG,2021-03-17,126ZAQ39VIIU,103.55251533385393
139,TYG,2021-03-17,1687BBF6P5,96.76283843407839
140,TYG,2021-03-17,554DBL6,263.85920335019716
141,TYG,2021-03-18,042WY7UCV,105.36188286052584
142,TYG,2021-03-18,1265MMDIKQ6M2QH,67.05177596165312
143,TYG,2021-03-18,12660HNF4CILP1,276.1236059401272
144,TYG,2021-03-18,1268,49.82343565563091
145,TYG,2021-03-18,126WID,84.46656317721121
146,TYG,2021-03-18,126ZAQ39VIIU,55.2871783749031
147,TYG,2021-03-18,1687BBF6P5,168.79130814620694
148,TYG,2021-03-18,554DBL6,95.16970896237291
149,TYG,2021-03-19,042WY7UCV,342.98060494755094
150,TYG,2021-03-19,1265MMDIKQ6M2QH,162.75234240874227
151,TYG,2021-03-19,12660HNF4CILP1,174.5817313009892
152,TYG,2021-03-19,1268,22.276413196237666
153,TYG,2021-03-19,126WID,135.7893056781886
154,TYG,2021-03-19,126ZAQ39VIIU,76.96070228398685
155,TYG,2021-03-19,554DBL6,162.24639212264918
156,TYG,2021-03-21,042WY7UCV,271.3887488398827
157,TYG,2021-03-21,1265MMDIKQ6M2QH,313.94890450222056
158,TYG,2021-03-21,12660HNF4CILP1,213.74282859532252
159,TYG,2021-03-21,1268,95.04515986249783
160,TYG,2021-03-21,126WID,579.4909589736315
161,TYG,2021-03-21,126ZAQ39VIIU,587.8420902882652
162,TYG,2021-03-21,554DBL6,122.77550439809679
163,TYG,2021-03-22,042WY7UCV,89.02445680867847
164,TYG,2021-03-22,1265MMDIKQ6M2QH,94.39171861584899
165,TYG,2021-03-22,12660HNF4CILP1,168.79740017166256
166,TYG,2021-03-22,1268,97.35940138296989
167,TYG,2021-03-22,126WID,139.07721761214373
168,TYG,2021-03-22,126ZAQ39VIIU,159.31047875580325
169,TYG,2021-03-22,554DBL6,207.08879141941958
170,TYG,2021-03-23,042WY7UCV,94.2638594189782
171,TYG,2021-03-23,1265MMDIKQ6M2QH,269.20928446133865
172,TYG,2021-03-23,12660HNF4CILP1,164.4984970438058
173,TYG,2021-03-23,1268,70.7975762359675
174,TYG,2021-03-23,126WID,501.32768329698
175,TYG,2021-03-23,126ZAQ39VIIU,208.3205326107028
176,TYG,2021-03-23,554DBL6,470.62691046840393
177,TYG,2021-03-24,042WY7UCV,135.30224987117256
178,TYG,2021-03-24,1265MMDIKQ6M2QH,485.8433281481274
179,TYG,2021-03-24,12660HNF4CILP1,158.11648530703596
180,TYG,2021-03-24,1268,222.8645869141974
181,TYG,2021-03-24,126WID,135.65568499567544
182,TYG,2021-03-24,126ZAQ39VIIU,70.18389489321363
183,TYG,2021-03-24,1687BBF6P5,190.29669034562494
184,TYG,2021-03-24,554DBL6,59.68669370168969
185,TYG,2021-03-25,042WY7UCV,370.95504259427304
186,TYG,2021-03-25,1265MMDIKQ6M2QH,42.279272012246096
187,TYG,2021-03-25,12660HNF4CILP1,230.91717813019395
188,TYG,2021-03-25,1268,228.66816366388244
189,TYG,2021-03-25,126WID,132.12005098158295
190,TYG,2021-03-25,126ZAQ39VIIU,1170.6305963035306
191,TYG,2021-03-25,554DBL6,169.63159949155985
192,TYG,2021-03-26,042WY7UCV,598.3087947022606
193,TYG,2021-03-26,1265MMDIKQ6M2QH,363.880667593043
194,TYG,2021-03-26,12660HNF4CILP1,111.13020825303823
195,TYG,2021-03-26,1268,87.1879428520446
196,TYG,2021-03-26,126WID,140.0283301207291
197,TYG,2021-03-26,126ZAQ39VIIU,765.403934265542
198,TYG,2021-03-26,1687BBF6P5,257.499171387563
199,TYG,2021-03-26,554DBL6,52.76639746551478
200,TYG,2021-03-28,042WY7UCV,134.31221971714032
201,TYG,2021-03-28,1265MMDIKQ6M2QH,352.75595072508213
202,TYG,2021-03-28,12660HNF4CILP1,130.2056546635584
203,TYG,2021-03-28,1268,40.68796596494978
204,TYG,2021-03-28,126WID,407.96836470024556
205,TYG,2021-03-28,126ZAQ39VIIU,117.16860786581174
206,TYG,2021-03-28,1687BBF6P5,121.50827586467729
207,TYG,2021-03-28,554DBL6,494.9771106301265
208,TYG,2021-03-29,042WY7UCV,225.89346288787536
209,TYG,2021-03-29,1265MMDIKQ6M2QH,308.440657623571
210,TYG,2021-03-29,12660HNF4CILP1,267.8934220025653
211,TYG,2021-03-29,1268,78.18493340415621
212,TYG,2021-03-29,126WID,386.3974903928007
213,TYG,2021-03-29,126ZAQ39VIIU,198.58111679576555
214,TYG,2021-03-29,1687BBF6P5,79.07238962935308
215,TYG,2021-03-29,554DBL6,1240.9964209910463
216,TYG,2021-03-30,042WY7UCV,311.9754466834209
217,TYG,2021-03-30,1265MMDIKQ6M2QH,41.238751987098496
218,TYG,2021-03-30,12660HNF4CILP1,429.9581436072062
219,TYG,2021-03-30,1268,316.9520101728386
220,TYG,2021-03-30,126WID,124.94575619974714
221,TYG,2021-03-30,126ZAQ39VIIU,73.52206281514094
222,TYG,2021-03-30,1687BBF6P5,258.448996917055
223,TYG,2021-03-30,554DBL6,82.35020804944361
224,TYG,2021-03-31,042WY7UCV,86.06118979277419
225,TYG,2021-03-31,1265MMDIKQ6M2QH,471.7853031443971
226,TYG,2021-03-31,12660HNF4CILP1,314.8179314189479
227,TYG,2021-03-31,1268,66.71503911302833
228,TYG,2021-03-31,126WID,89.43139408029573
229,TYG,2021-03-31,126ZAQ39VIIU,94.24461556963634
230,TYG,2021-03-31,554DBL6,31.274987382538487
231,TYG,2021-04-01,042WY7UCV,420.1188243139121
232,TYG,2021-04-01,1265MMDIKQ6M2QH,231.83314950864207
233,TYG,2021-04-01,12660HNF4CILP1,248.81104709521347
234,TYG,2021-04-01,1268,393.36315719966404
235,TYG,2021-04-01,126WID,212.73483350471545
236,TYG,2021-04-01,126ZAQ39VIIU,364.45514244134847
237,TYG,2021-04-01,554DBL6,517.9477509250643
238,TYG,2021-04-02,042WY7UCV,188.8980793435883
239,TYG,2021-04-02,1265MMDIKQ6M2QH,168.60150045523852
240,TYG,2021-04-02,12660HNF4CILP1,257.7485128117456
241,TYG,2021-04-02,1268,25.400526429712233
242,TYG,2021-04-02,126WID,479.5545335812369
243,TYG,2021-04-02,126ZAQ39VIIU,296.55491951076243
244,TYG,2021-04-02,1687BBF6P5,189.2177166625832
245,TYG,2021-04-02,554DBL6,71.6469677002843
246,TYG,2021-04-04,042WY7UCV,352.5942572770274
247,TYG,2021-04-04,1265MMDIKQ6M2QH,320.138927305481
248,TYG,2021-04-04,12660HNF4CILP1,171.83263666182128
249,TYG,2021-04-04,1268,225.32571902429285
250,TYG,2021-04-04,126WID,621.4090213915297
251,TYG,2021-04-04,126ZAQ39VIIU,152.23229401633483
252,TYG,2021-04-04,554DBL6,107.37408960893464
253,TYG,2021-04-05,042WY7UCV,693.4826405460768
254,TYG,2021-04-05,1265MMDIKQ6M2QH,58.09477200708969
255,TYG,2021-04-05,12660HNF4CILP1,240.69154045704065
256,TYG,2021-04-05,1268,391.1536318809488
257,TYG,2021-04-05,126WID,293.4513349320511
258,TYG,2021-04-05,126ZAQ39VIIU,188.39795290840502
259,TYG,2021-04-05,554DBL6,145.28838117968928
260,TYG,2021-04-06,042WY7UCV,454.3288146933835
261,TYG,2021-04-06,1265MMDIKQ6M2QH,507.5672935759154
262,TYG,2021-04-06,12660HNF4CILP1,348.55634311367146
